Text,Cipher,IC,Top9Letters
ooiteanixeheutihnxtrianhoeshthqiatkxeteitsmwxvalahraoxgetcwfraxhysstefrxunnadfocx,ColumnarTransposition,0.059876543209876544,teaxhionr
hscnclnpoohownnisnweeyteocuhamntpebatqtimkoonknxfoeenoohlwymaeedoytefref,ColumnarTransposition,0.06455399061032864,oenthcwya
iooaaootlnvntcrfuhixesheinnesxetepdocoudharnnnaspetnaiakotmhfibewwcfbi,ColumnarTransposition,0.0546583850931677,noeiathcf
ntvrieaftxbrpnmsoahxlhredtieoxgwefnrtrhxiayceronrxhamadnshwxstiteancsxeueedelfuo,ColumnarTransposition,0.05411392405063291,erxntahis
lieshesxenohsotehketmschetreolnxtsluewetswthoeoxmofttmixvttsrfoxelhitrnx,ColumnarTransposition,0.07902973395931143,etsohxlin
btuvaeeiyqiuarxhafrcfnuierowaxntopniacsoitofxanooewtrtneonixiisriswdotunrfs,ColumnarTransposition,0.06054054054054054,iontareux
nltdcevoalseahireosttcfxegttuesxwrfhshoxieietguxdiswcfewwnaiorunrtihnnox,ColumnarTransposition,0.05359937402190924,etinosxhr
dttnainatifnaeexiwnrayrsnttiednxnnhclfexnigedsetasahraidodeawfrxsatnaitxihhcantn,ColumnarTransposition,0.07879746835443038,natiedxrs
msnltiiipjyegtnotucenwsypxsmptwtnahlitieihihsdoeummxiosysoriitatxoeeiihstolftn,ColumnarTransposition,0.06626706626706627,itseonmhl
tynhhhfeoaiaetwtiaaaarovtndliretdtoosfsehsaftsvphhhoinrxtienmguntitiee,ColumnarTransposition,0.06749482401656315,theainosf
mfisasedcitsfninttomrireeexsmedibllxueirfancxtcoifvaoxeonnaeblxnhsoaheox,ColumnarTransposition,0.05829420970266041,einoxsaft
arrsioowsnxnittctuhenxmliraodrntxmeoihnfylatyahohtneaoxassyrbaedbxtfhweenecux,ColumnarTransposition,0.05365686944634313,anteoxrhs
ktsbuhcniihlalsstodgoinxtokeseoxtafwratihrioeblxhhtielieaynftroxnsiltthi,ColumnarTransposition,0.06103286384976526,tihoslena
rctlletnehsataihesaiyhreeoatameertcrmneennefnnreatxeptoiibopaehecnmecxod,ColumnarTransposition,0.08176838810641628,etnarchio
iobnnoaohonaltcnuyggpsatkboxattttoueltmosxinrehoorilhyutfciaisdpsnilri,ColumnarTransposition,0.05714285714285714,otinalshu
learraegcfhifwxbeyetshnswntlnxlcrmeytiutinoixwesfhooieeoghlginsoesmnxotseox,ColumnarTransposition,0.057297297297297295,eoisnxtlh
oeialafattserwainlouhhtxfchrlrefitrhrncfiubdwiiteaiawtyntnfspmhmdaluliei,ColumnarTransposition,0.05672926447574335,iatelfrhn
ioptkhnoleoelpaoohveatdingahwetfpsmsfgrreiausaaeiuetwtdrmrntlstfrteslism,ColumnarTransposition,0.05516431924882629,teasiorlp
