Text,Cipher,IC,Top9Letters,Top5Bigrams
daitpnlvneeitmhlteidwwclfmofgahnxoaeresittlxnhsiyetielxtgoerensskxdcpeohesyex,ColumnarTransposition,0.0574162679425837,etinlxsho,et ti in nl lx
rwuoviugvinxgafmaciubapzivhntjkacfzickakcatzyvodzvi,Vigenere,0.0494117647058823,iavczukog,ia av vc cz zu
ehrntinethfaaqaiotyhdersaimorptoltaieedeehringoxrgetaaofswscgenxneadsuwd,ColumnarTransposition,0.0594679186228482,eatrniohd,ea at tr rn ni
kpzlhzlpzaolylaypibapvuvmvbayhnlkuhabyl,ceaser,0.068825910931174,lapyzhbvk,pz zl yl ay ba
stbdrgprnxhqphtsjedciwtrdckxrixdciwpiiwtgtpgttmigpdgsxcpgnedhhxqxaxixthxcdgsxcpgnetdeat,ceaser,0.0638866613205025,txdgpichs,dc iw pg xc gp
jshwqfjozysqqsgjozwhnsczpblbhjghsnjowqozbddzdjozdzjbwyqwmbq,MonoalphabeticSubstitution,0.0654587960257159,jzqswobhd,jz zq qs sw wo
ktenbtnvayhhlgntdehttcegoiorduaeise,ColumnarTransposition,0.0521008403361344,tenhagdoi,te en nh ha ag
jxuunyxxceadissepgdriyxpik,MonoalphabeticSubstitution,0.0461538461538461,xiuyedspj,xi iu uy ye ed
cbzmoksoyawbrgssygizhwaohsobgksfg,ceaser,0.0587121212121212,sogbzkyaw,ks so cb bz zm
dycvqkzhzacewijyoczvyxovmqdaucrhmztkcnirlmycmyeuwyzccaf,Vigenere,0.0505050505050505,cyzmvadqk,cy yz zm mv va
zklhkglzvnrehiroyrqohowqlywbqphluppxhrozqpkuqmbsllwzpvokvbqqoggz,Vigenere,0.0530753968253968,qlozhpkrg,ql lo oz zh hp
ptzhxusrbmperpipeuntrjipfazncxkkoduxflwiyseubaeihxzpnkb,Vigenere,0.0397306397306397,pxueizrbn,px xu ue ei iz
lxpgzdllurtpwcilvowsmwtjahyuwgdlhllbzdiypmnwajxdozektjeolap,Vigenere,0.0426651081239041,lwpdztoja,lw wp pd dz zt
szwozyszwoqldeszwozfealetpynptdrpytfd,ceaser,0.054054054054054,zswoydetp,sz zw wo oz py
ghojvdjvlnrfvllbolbyossohnlblssohoptrvqblvkxohnvqo,MonoalphabeticSubstitution,0.0718367346938775,olvhbsnjr,ol lv vh hb bs
noorhgsnmitneexoraeiembpejttaxarsrdnnoyoxohtddnoiabuerneelrxcenvvemdsdrsahx,ColumnarTransposition,0.0605405405405405,enorxadst,en no or rx xa
maxphkewfnlmuxftwxltyxyhkwxfhvktvr,ceaser,0.0516934046345811,xhkwftmly,hk xf wx ma ax
xaxezowwlfwjgwljxjyfx,MonoalphabeticSubstitution,0.0809523809523809,xwjlfaezo,xw wj jl lf fa
dqmcyimczlccmvzimcjyibsqzhyiazlcdwldmqlykfwpmyoozchyfmc,MonoalphabeticSubstitution,0.0646464646464646,cmyzildqh,cm my yz zi il
dqfdwadkpxkhogvofqmwjcqulzyutwofgelbknnqkvvjwiqnnekiv,Vigenere,0.0384615384615384,qkwvndfog,qk kw wv vn nd
oenoeednxasieemrtowitrncisxlhayereasnhohuntcxebnvheeixanskmonaxcafacchtxlttwbonrn,ColumnarTransposition,0.0611111111111111,enaoxtchs,en na ao ox xt
jodbtfpgepvcuefdjefjogbwpspgxibujtdpssfdu,ceaser,0.0548780487804878,pjdfbgeus,jo pg ef fd ps
czrcjyzndmznivpbcordggvgrvtnwzamzz,ceaser,0.0570409982174688,zcrnvgdmj,zn mz cz zr rc
htggocpkudapgeguukvakpugewtgvjkpmkpiocpdapgeguukvawpegtvckp,ceaser,0.0789012273524254,gpkuaevtc,kp ge eg tg oc
wuvtgrjgrltlqucpgyqtclqjm,MonoalphabeticSubstitution,0.0533333333333333,tglqurjcw,tg gl lq qu ur
ozngyhkktygojzngzjksuixgieoyznkcuxyzluxsulmubkxtsktzkdikvzgrrznuykuznkxluxsyzngzngbkhkktzxokjlxuszoskzuzosk,ceaser,0.072650326221125,kzuxngsoy,zn ng kt yz ux
eonwtseeuahlityecdonrnchhthtdnhadcmhdeottgiiecahwdageheampmhtonbrnarae,ColumnarTransposition,0.0670807453416149,ehtandoci,eh ht ta an nd
aiscdexydasehxnntadgxaeitnixmbniehr,ColumnarTransposition,0.0605042016806722,aiexndsht,ai ie ex xn nd
kwwqovvgsvgokqoqvjsvnoeowhsngbqokngjovvsenoqovnslieljtwowngknngoy,MonoalphabeticSubstitution,0.08125,ovngwqskj,ov vn ng gw wq
dfwlrqzloouhpryhwkhgrxewvwkdwwkhrubfdqqrwvroyh,ceaser,0.0608695652173913,wrhdqokfl,wk yh kh wv df
zrnpxzozqxannfvxtozcavbzjavxtzqxbfvpavxpnannsaoaxptqxbz,MonoalphabeticSubstitution,0.0767676767676767,xzanvpoqt,xz za an nv vp
uqrxtrujqvnknidtidtiqaaqdn,MonoalphabeticSubstitution,0.0646153846153846,qtnidurax,qt tn ni id du
rrbkvrbvcvpjcpbubtxildervpniiunlnnvyyiqoezoazffc,Vigenere,0.0416666666666666,vrbincpul,vr rb bi in nc
wjbpcbxhtgnbjhihdbtlwtgtwpktphideiwtgtxhcdlxcsiwpipalpnhqadlhphidgb,ceaser,0.0615106286748077,hptiwbdgl,tg hi xh wt gt
ijtupszjtbtufsokvehf,ceaser,0.0368421052631578,tjusfipzb,jt tu ij up ps
qwdennashnnnenxumsgdeoeixeeabaoehticctnnsfheg,ColumnarTransposition,0.0727272727272727,enashdxgo,en na as sh hd
bvfaimwbaivaqztbgzbihbizcqrndxzcyrtvfzfzbhbwebpdqzcplbcyzh,MonoalphabeticSubstitution,0.058681185722928,bzicvfaqh,bz zi ic cv vf
palrforatxaceulrecuxarlthhdbryriyoeaeeixbdesshsndxbelyetrerbaomartriexrirseewgox,ColumnarTransposition,0.0680379746835443,reaxlotbi,re ea ax xl lo
eltexxjsltiudoxafnmxlyaaxmlsmxedyincotli,ColumnarTransposition,0.0576923076923076,xletiamsd,xl le et ti ia
idivqzeefmtinliqmssvqdtuefmoisszfmswmknqtevkmpefmzsmqpmjqmzz,MonoalphabeticSubstitution,0.0683615819209039,mqsizefvt,mq qs si iz ze
qcobldrclnmvqvxfsthyqeugxfnwsfqtxawibmijbkiosnmsqtbaoh,Vigenere,0.03424178895877,qbsonmxft,qb bs so on nm
owhltkwxjlykpmwkqhqogwptvsdcfzndcazuptohzwlbuzbcfukwwxuykt,Vigenere,0.0423472474289171,wktzuohlp,wk kt tz zu uo
zqmyumealulwbcjzxuyaexagqrrjcqnxafxanchyflceoaarxukmayb,MonoalphabeticSubstitution,0.0511784511784511,axyucqmel,ax xy yu uc cq
yrgivxemrxcerhqcwxivceviirivkmiwsjpmjihsrxpixxliqwgevicsyyrhypcjsvxlicoiitfsvihsqexfecerhwtevogviexmzmxc,ceaser,0.0623599701269604,ixvecrsmh,vi iv ce rh ev
eohiiinhisbeatntontadsihseapnihstiiorheiotnmmalcnadhdgisttmeitkadgrteasf,ColumnarTransposition,0.0739436619718309,itaehnsod,it ta ae eh hn
zrhidsbafggdfapptxxnzzmggiagllmlaylviavxtxkyqldmxtlkm,Vigenere,0.0493468795355587,lagxmzidt,la ag gx xm mz
lloaxefnehainsxeritigivghroamlabmwynoohg,ColumnarTransposition,0.0461538461538461,oailenhgx,oa ai il le en
kagpqoupqkagxximufradkagdbufotftqzmeftqnmxxefmdfefaimdpftqbxmfqkagftuzwmnagfkagdefmzoqmzpftqzkagftuzwmnagfkagdeiuzsmzpftqzkagdqmxulqftmfftqnmxxftmfiqzfbmefkagradmefduwqimekagdbufot,ceaser,0.0651769087523277,fmaqgtkdz,ag ka ft tq ef
mrmooihelkvtugblntshyrxxwhyteltanarbswcakgdtblxtddyk,Vigenere,0.0392156862745098,tlrhkbyxa,tl lr rh hk kb
gurterngrfgoyrffvatbsbheqrzbpenplvfserrqbzohgvagurynfgnanylfvfbhebaylserrqbzvfgurserrqbzgbqvfpvcyvarbhefryirf,ceaser,0.0642201834862385,rfbgevyna,er vf gu ur rf
dyheltentiyjatokhnyjtenjelihsdyhenfeosuveftosokxoieyqdosis,MonoalphabeticSubstitution,0.0604960677555958,eoytshnid,eo oy yt ts sh
abggbqrpvqrvfgbqrpvqr,ceaser,0.1047619047619047,qrbgvpaf,qr gb bq rp pv
flmumuoslpjijtoyovlpltkmj,MonoalphabeticSubstitution,0.06,lmojuptfs,lm mo oj ju up
xygiwluwsgyuhmhincugumaiixumsioulyvonsioulyumaiixumcug,ceaser,0.0782669461914744,uimygxlso,um yu cu ug ma
rswucjuiwvtkhglcanhsvqquittpwhaiavuwhglucslkycgwvcuewakpqeiulwhu,MonoalphabeticSubstitution,0.054563492063492,uwchivlas,uw wc ch hi iv
aencneeoarsrpwoosdswntntrahdssohtittvarmnrntekoeoteeoikahnwhphtnaetwohoh,ColumnarTransposition,0.0758998435054773,otenharsw,ot te en nh ha
jwgolchhulwbdtsdqsxwgosckb,MonoalphabeticSubstitution,0.04,wsgolchbd,ws sg go ol lc
lfhdjgndohdwhnhrwfhnzdxwkdzxfwzwlvowktzxfwdkwwkjkewfvwowngh,MonoalphabeticSubstitution,0.0806545879602571,whdfknzox,wh hd df fk kn
htsetatcaaaxetetresdyrhncnvaewreptyefeotuhtaasgdewiinahinaebnengdtenodde,ColumnarTransposition,0.0786384976525821,etandhsri,et ta an nd dh
xqixkbxgvxvhewhkaxtmiextlnkxhkitbgmaxlxxqixkbxgvxltkxyexxmbgzmaxrvhfxtgwzhuxtkmaxfitmbxgmer,ceaser,0.084004884004884,xktmgibhv,ax xt bx xg ma
cujqabggquobukndrbmszilbvjbdlcpnshzdceffmxlusprwyucyiebhbcmuwy,Vigenere,0.0386039132734003,bucdmslyj,bu uc cd dm ms
wxjkwdxkzpjojqmhmuupasnrdtfcbcmywdjylgkjgzbwyqgkwzuxapm,Vigenere,0.0383838383838383,wjkmxdzpu,wj jk km mx xd
xcpstbdrgprniwtdeedhxixdcxhcdidcanidatgpitsphrdchixijixdcpaqjibjhiqtbpxcipxctsqtrpjhtxixhxcsxhetchpqat,ceaser,0.0714424383614832,xictpdhsr,xc ix dc xi xh
baikucmyvcaficcmuknajuqapyepuryctgyuzxnlfapzrycmtapjytcyap,MonoalphabeticSubstitution,0.058076225045372,acyupmtik,ac cy yu up pm
ifsftbsvmfjsfdpnnfoeofwfsqsbdujdfuxpwjdftbupodf,ceaser,0.0767807585568917,fsdbjpout,df fs sf ft tb
odewitenesshanynlemebathtyexgnsitvxugaaghe,ColumnarTransposition,0.0592334494773519,etnashgiy,et tn na as sh
empzqeemzpsxmpzqeeegooqqpqmotaftqd,ceaser,0.0873440285204991,eqmpzotsx,ee em mp pz zq
febciebnduhfnxohekssureeypstthnirixualnoox,ColumnarTransposition,0.0441347270615563,eniuhxosf,en ni iu uh hx
iynctnihnthssiiptuhiatonrhsumdfoisuowtbjaheoitaiifasgwosiindeotiteutexnm,ColumnarTransposition,0.0700312989045383,itnsohuae,it tn ns so oh
sfzsvurkkwftdsmtorkorwfjrbsmudymufryysnyutnmskqsvgmxeeusahteoreatbseretratnvsfyryskwrnantoqrakwotenrna,MonoalphabeticSubstitution,0.0574645699864104,rstnekyaf,rs st tn ne ek
oxzzcxscbwkgtirnydoncinxsndjawmuvlrjuwecxhsnoanhoiqcbsulroyyarny,Vigenere,0.0411706349206349,nocxsrywi,no oc cx xs sr
qdtcrhwktexkvxwtbstnsekt,MonoalphabeticSubstitution,0.0615942028985507,tkwexsqdc,tk kw we ex xs
cvqyjlcycobepvedcbgjd,MonoalphabeticSubstitution,0.0571428571428571,cvyjbedql,cv vy yj jb be
aolzvbsvmkpzwhajopzkljpzpvu,ceaser,0.0569800569800569,zpvaolkjb,pz ao ol lz zv
mjiipwyggiwwjypalirxliavmxmrkksiwaippxlmwpewxwjmziqmryxiwsrgialirmaewryqfivsrisrxlifiwxwippivpmwxmepwsjipxwyggiwwjypxlexpewxihxlviiqmryxiw,ceaser,0.0790225325293557,iwxpmrylj,iw xl ip li wx
ozybnnhdvhyerlksblifvtskzajepqkvzfxhcrkcwulvjgnowuihpgz,Vigenere,0.0296296296296296,zhvknloyb,zh hv vk kn nl
jyspqsjcyuvytdjfiekvtd,MonoalphabeticSubstitution,0.0432900432900432,jysvtdpqc,jy ys sv vt td
grwzxmrsdqqodudsseorzvpqld,MonoalphabeticSubstitution,0.0523076923076923,drsqzogwx,dr rs sq qz zo
dhnugbktspmtlkgbrkhbn,MonoalphabeticSubstitution,0.0476190476190476,bkhngtdus,bk kh hn ng gt
eeutlxanltexddybcxheprhdbehyox,ColumnarTransposition,0.0597701149425287,exdhtlybu,ex xd dh ht tl
crvnqjbcxumvnunbbcqjwrwnnmcxtwxf,ceaser,0.0625,ncbxwrvqj,vn qj bc cx cr
uzeujuznouyplldupqlsm,MonoalphabeticSubstitution,0.0714285714285714,ulzpejnoy,ul lz zp pe ej
nsilnshnjsinyedxgnjspyxxyo,MonoalphabeticSubstitution,0.0738461538461538,nsyxijlhe,ns sy yx xi ij
strluihflgsieiotnelxbsawhowhsheahlxlttixpodrt,ColumnarTransposition,0.0545454545454545,tlhsieoxr,tl lh hs si ie
zevfwdnmtnmhxfhxenmekkhxhnwqdnnhxwfhvexzgghnghghixhwzp,MonoalphabeticSubstitution,0.0775681341719077,hnxewgzfm,hn nx xe ew wg
rweuwxwjtcnwffplqxixnhhswcmriescgwh,Vigenere,0.0504201680672268,wxchrenfi,wx xc ch hr re
heauixuhncfxovmonhaoidtxlctllxcrdoaxfimnoessesty,ColumnarTransposition,0.0452127659574468,xoheainct,xo oh he ea ai
agjjephbwpjfxjwepkgejxajzpehdpbmrooagsozvhigmxrsbexszxrox,MonoalphabeticSubstitution,0.0513784461152882,jxepgoahb,jx xe ep pg go
