Text,Cipher,IC,Letter_1,Letter_2,Letter_3,Letter_4,Letter_5,Letter_6,Letter_7,Letter_8,Letter_9,Bigram_1,Bigram_2,Bigram_3,Bigram_4,Bigram_5
daitpnlvneeitmhlteidwwclfmofgahnxoaeresittlxnhsiyetielxtgoerensskxdcpeohesyex,ColumnarTransposition,0.0574162679425837,e,t,i,n,l,x,s,h,o,et,ti,in,nl,lx
rwuoviugvinxgafmaciubapzivhntjkacfzickakcatzyvodzvi,Vigenere,0.0494117647058823,i,a,v,c,z,u,k,o,g,ia,av,vc,cz,zu
ehrntinethfaaqaiotyhdersaimorptoltaieedeehringoxrgetaaofswscgenxneadsuwd,ColumnarTransposition,0.0594679186228482,e,a,t,r,n,i,o,h,d,ea,at,tr,rn,ni
kpzlhzlpzaolylaypibapvuvmvbayhnlkuhabyl,ceaser,0.068825910931174,l,a,p,y,z,h,b,v,k,pz,zl,yl,ay,ba
stbdrgprnxhqphtsjedciwtrdckxrixdciwpiiwtgtpgttmigpdgsxcpgnedhhxqxaxixthxcdgsxcpgnetdeat,ceaser,0.0638866613205025,t,x,d,g,p,i,c,h,s,dc,iw,pg,xc,gp
jshwqfjozysqqsgjozwhnsczpblbhjghsnjowqozbddzdjozdzjbwyqwmbq,MonoalphabeticSubstitution,0.0654587960257159,j,z,q,s,w,o,b,h,d,jz,zq,qs,sw,wo
ktenbtnvayhhlgntdehttcegoiorduaeise,ColumnarTransposition,0.0521008403361344,t,e,n,h,a,g,d,o,i,te,en,nh,ha,ag
jxuunyxxceadissepgdriyxpik,MonoalphabeticSubstitution,0.0461538461538461,x,i,u,y,e,d,s,p,j,xi,iu,uy,ye,ed
cbzmoksoyawbrgssygizhwaohsobgksfg,ceaser,0.0587121212121212,s,o,g,b,z,k,y,a,w,ks,so,cb,bz,zm
dycvqkzhzacewijyoczvyxovmqdaucrhmztkcnirlmycmyeuwyzccaf,Vigenere,0.0505050505050505,c,y,z,m,v,a,d,q,k,cy,yz,zm,mv,va
zklhkglzvnrehiroyrqohowqlywbqphluppxhrozqpkuqmbsllwzpvokvbqqoggz,Vigenere,0.0530753968253968,q,l,o,z,h,p,k,r,g,ql,lo,oz,zh,hp
ptzhxusrbmperpipeuntrjipfazncxkkoduxflwiyseubaeihxzpnkb,Vigenere,0.0397306397306397,p,x,u,e,i,z,r,b,n,px,xu,ue,ei,iz
lxpgzdllurtpwcilvowsmwtjahyuwgdlhllbzdiypmnwajxdozektjeolap,Vigenere,0.0426651081239041,l,w,p,d,z,t,o,j,a,lw,wp,pd,dz,zt
szwozyszwoqldeszwozfealetpynptdrpytfd,ceaser,0.054054054054054,z,s,w,o,y,d,e,t,p,sz,zw,wo,oz,py
ghojvdjvlnrfvllbolbyossohnlblssohoptrvqblvkxohnvqo,MonoalphabeticSubstitution,0.0718367346938775,o,l,v,h,b,s,n,j,r,ol,lv,vh,hb,bs
noorhgsnmitneexoraeiembpejttaxarsrdnnoyoxohtddnoiabuerneelrxcenvvemdsdrsahx,ColumnarTransposition,0.0605405405405405,e,n,o,r,x,a,d,s,t,en,no,or,rx,xa
maxphkewfnlmuxftwxltyxyhkwxfhvktvr,ceaser,0.0516934046345811,x,h,k,w,f,t,m,l,y,hk,xf,wx,ma,ax
xaxezowwlfwjgwljxjyfx,MonoalphabeticSubstitution,0.0809523809523809,x,w,j,l,f,a,e,z,o,xw,wj,jl,lf,fa
dqmcyimczlccmvzimcjyibsqzhyiazlcdwldmqlykfwpmyoozchyfmc,MonoalphabeticSubstitution,0.0646464646464646,c,m,y,z,i,l,d,q,h,cm,my,yz,zi,il
dqfdwadkpxkhogvofqmwjcqulzyutwofgelbknnqkvvjwiqnnekiv,Vigenere,0.0384615384615384,q,k,w,v,n,d,f,o,g,qk,kw,wv,vn,nd
oenoeednxasieemrtowitrncisxlhayereasnhohuntcxebnvheeixanskmonaxcafacchtxlttwbonrn,ColumnarTransposition,0.0611111111111111,e,n,a,o,x,t,c,h,s,en,na,ao,ox,xt
jodbtfpgepvcuefdjefjogbwpspgxibujtdpssfdu,ceaser,0.0548780487804878,p,j,d,f,b,g,e,u,s,jo,pg,ef,fd,ps
czrcjyzndmznivpbcordggvgrvtnwzamzz,ceaser,0.0570409982174688,z,c,r,n,v,g,d,m,j,zn,mz,cz,zr,rc
htggocpkudapgeguukvakpugewtgvjkpmkpiocpdapgeguukvawpegtvckp,ceaser,0.0789012273524254,g,p,k,u,a,e,v,t,c,kp,ge,eg,tg,oc
wuvtgrjgrltlqucpgyqtclqjm,MonoalphabeticSubstitution,0.0533333333333333,t,g,l,q,u,r,j,c,w,tg,gl,lq,qu,ur
ozngyhkktygojzngzjksuixgieoyznkcuxyzluxsulmubkxtsktzkdikvzgrrznuykuznkxluxsyzngzngbkhkktzxokjlxuszoskzuzosk,ceaser,0.072650326221125,k,z,u,x,n,g,s,o,y,zn,ng,kt,yz,ux
eonwtseeuahlityecdonrnchhthtdnhadcmhdeottgiiecahwdageheampmhtonbrnarae,ColumnarTransposition,0.0670807453416149,e,h,t,a,n,d,o,c,i,eh,ht,ta,an,nd
aiscdexydasehxnntadgxaeitnixmbniehr,ColumnarTransposition,0.0605042016806722,a,i,e,x,n,d,s,h,t,ai,ie,ex,xn,nd
kwwqovvgsvgokqoqvjsvnoeowhsngbqokngjovvsenoqovnslieljtwowngknngoy,MonoalphabeticSubstitution,0.08125,o,v,n,g,w,q,s,k,j,ov,vn,ng,gw,wq
dfwlrqzloouhpryhwkhgrxewvwkdwwkhrubfdqqrwvroyh,ceaser,0.0608695652173913,w,r,h,d,q,o,k,f,l,wk,yh,kh,wv,df
zrnpxzozqxannfvxtozcavbzjavxtzqxbfvpavxpnannsaoaxptqxbz,MonoalphabeticSubstitution,0.0767676767676767,x,z,a,n,v,p,o,q,t,xz,za,an,nv,vp
uqrxtrujqvnknidtidtiqaaqdn,MonoalphabeticSubstitution,0.0646153846153846,q,t,n,i,d,u,r,a,x,qt,tn,ni,id,du
rrbkvrbvcvpjcpbubtxildervpniiunlnnvyyiqoezoazffc,Vigenere,0.0416666666666666,v,r,b,i,n,c,p,u,l,vr,rb,bi,in,nc
wjbpcbxhtgnbjhihdbtlwtgtwpktphideiwtgtxhcdlxcsiwpipalpnhqadlhphidgb,ceaser,0.0615106286748077,h,p,t,i,w,b,d,g,l,tg,hi,xh,wt,gt
ijtupszjtbtufsokvehf,ceaser,0.0368421052631578,t,j,u,s,f,i,p,z,b,jt,tu,ij,up,ps
qwdennashnnnenxumsgdeoeixeeabaoehticctnnsfheg,ColumnarTransposition,0.0727272727272727,e,n,a,s,h,d,x,g,o,en,na,as,sh,hd
bvfaimwbaivaqztbgzbihbizcqrndxzcyrtvfzfzbhbwebpdqzcplbcyzh,MonoalphabeticSubstitution,0.058681185722928,b,z,i,c,v,f,a,q,h,bz,zi,ic,cv,vf
palrforatxaceulrecuxarlthhdbryriyoeaeeixbdesshsndxbelyetrerbaomartriexrirseewgox,ColumnarTransposition,0.0680379746835443,r,e,a,x,l,o,t,b,i,re,ea,ax,xl,lo
eltexxjsltiudoxafnmxlyaaxmlsmxedyincotli,ColumnarTransposition,0.0576923076923076,x,l,e,t,i,a,m,s,d,xl,le,et,ti,ia
idivqzeefmtinliqmssvqdtuefmoisszfmswmknqtevkmpefmzsmqpmjqmzz,MonoalphabeticSubstitution,0.0683615819209039,m,q,s,i,z,e,f,v,t,mq,qs,si,iz,ze
qcobldrclnmvqvxfsthyqeugxfnwsfqtxawibmijbkiosnmsqtbaoh,Vigenere,0.03424178895877,q,b,s,o,n,m,x,f,t,qb,bs,so,on,nm
owhltkwxjlykpmwkqhqogwptvsdcfzndcazuptohzwlbuzbcfukwwxuykt,Vigenere,0.0423472474289171,w,k,t,z,u,o,h,l,p,wk,kt,tz,zu,uo
zqmyumealulwbcjzxuyaexagqrrjcqnxafxanchyflceoaarxukmayb,MonoalphabeticSubstitution,0.0511784511784511,a,x,y,u,c,q,m,e,l,ax,xy,yu,uc,cq
yrgivxemrxcerhqcwxivceviirivkmiwsjpmjihsrxpixxliqwgevicsyyrhypcjsvxlicoiitfsvihsqexfecerhwtevogviexmzmxc,ceaser,0.0623599701269604,i,x,v,e,c,r,s,m,h,vi,iv,ce,rh,ev
eohiiinhisbeatntontadsihseapnihstiiorheiotnmmalcnadhdgisttmeitkadgrteasf,ColumnarTransposition,0.0739436619718309,i,t,a,e,h,n,s,o,d,it,ta,ae,eh,hn
zrhidsbafggdfapptxxnzzmggiagllmlaylviavxtxkyqldmxtlkm,Vigenere,0.0493468795355587,l,a,g,x,m,z,i,d,t,la,ag,gx,xm,mz
lloaxefnehainsxeritigivghroamlabmwynoohg,ColumnarTransposition,0.0461538461538461,o,a,i,l,e,n,h,g,x,oa,ai,il,le,en
kagpqoupqkagxximufradkagdbufotftqzmeftqnmxxefmdfefaimdpftqbxmfqkagftuzwmnagfkagdefmzoqmzpftqzkagftuzwmnagfkagdeiuzsmzpftqzkagdqmxulqftmfftqnmxxftmfiqzfbmefkagradmefduwqimekagdbufot,ceaser,0.0651769087523277,f,m,a,q,g,t,k,d,z,ag,ka,ft,tq,ef
mrmooihelkvtugblntshyrxxwhyteltanarbswcakgdtblxtddyk,Vigenere,0.0392156862745098,t,l,r,h,k,b,y,x,a,tl,lr,rh,hk,kb
gurterngrfgoyrffvatbsbheqrzbpenplvfserrqbzohgvagurynfgnanylfvfbhebaylserrqbzvfgurserrqbzgbqvfpvcyvarbhefryirf,ceaser,0.0642201834862385,r,f,b,g,e,v,y,n,a,er,vf,gu,ur,rf
dyheltentiyjatokhnyjtenjelihsdyhenfeosuveftosokxoieyqdosis,MonoalphabeticSubstitution,0.0604960677555958,e,o,y,t,s,h,n,i,d,eo,oy,yt,ts,sh
abggbqrpvqrvfgbqrpvqr,ceaser,0.1047619047619047,q,r,b,g,v,p,a,f,,qr,gb,bq,rp,pv
flmumuoslpjijtoyovlpltkmj,MonoalphabeticSubstitution,0.06,l,m,o,j,u,p,t,f,s,lm,mo,oj,ju,up
xygiwluwsgyuhmhincugumaiixumsioulyvonsioulyumaiixumcug,ceaser,0.0782669461914744,u,i,m,y,g,x,l,s,o,um,yu,cu,ug,ma
rswucjuiwvtkhglcanhsvqquittpwhaiavuwhglucslkycgwvcuewakpqeiulwhu,MonoalphabeticSubstitution,0.054563492063492,u,w,c,h,i,v,l,a,s,uw,wc,ch,hi,iv
aencneeoarsrpwoosdswntntrahdssohtittvarmnrntekoeoteeoikahnwhphtnaetwohoh,ColumnarTransposition,0.0758998435054773,o,t,e,n,h,a,r,s,w,ot,te,en,nh,ha
jwgolchhulwbdtsdqsxwgosckb,MonoalphabeticSubstitution,0.04,w,s,g,o,l,c,h,b,d,ws,sg,go,ol,lc
lfhdjgndohdwhnhrwfhnzdxwkdzxfwzwlvowktzxfwdkwwkjkewfvwowngh,MonoalphabeticSubstitution,0.0806545879602571,w,h,d,f,k,n,z,o,x,wh,hd,df,fk,kn
htsetatcaaaxetetresdyrhncnvaewreptyefeotuhtaasgdewiinahinaebnengdtenodde,ColumnarTransposition,0.0786384976525821,e,t,a,n,d,h,s,r,i,et,ta,an,nd,dh
xqixkbxgvxvhewhkaxtmiextlnkxhkitbgmaxlxxqixkbxgvxltkxyexxmbgzmaxrvhfxtgwzhuxtkmaxfitmbxgmer,ceaser,0.084004884004884,x,k,t,m,g,i,b,h,v,ax,xt,bx,xg,ma
cujqabggquobukndrbmszilbvjbdlcpnshzdceffmxlusprwyucyiebhbcmuwy,Vigenere,0.0386039132734003,b,u,c,d,m,s,l,y,j,bu,uc,cd,dm,ms
wxjkwdxkzpjojqmhmuupasnrdtfcbcmywdjylgkjgzbwyqgkwzuxapm,Vigenere,0.0383838383838383,w,j,k,m,x,d,z,p,u,wj,jk,km,mx,xd
xcpstbdrgprniwtdeedhxixdcxhcdidcanidatgpitsphrdchixijixdcpaqjibjhiqtbpxcipxctsqtrpjhtxixhxcsxhetchpqat,ceaser,0.0714424383614832,x,i,c,t,p,d,h,s,r,xc,ix,dc,xi,xh
baikucmyvcaficcmuknajuqapyepuryctgyuzxnlfapzrycmtapjytcyap,MonoalphabeticSubstitution,0.058076225045372,a,c,y,u,p,m,t,i,k,ac,cy,yu,up,pm
ifsftbsvmfjsfdpnnfoeofwfsqsbdujdfuxpwjdftbupodf,ceaser,0.0767807585568917,f,s,d,b,j,p,o,u,t,df,fs,sf,ft,tb
odewitenesshanynlemebathtyexgnsitvxugaaghe,ColumnarTransposition,0.0592334494773519,e,t,n,a,s,h,g,i,y,et,tn,na,as,sh
empzqeemzpsxmpzqeeegooqqpqmotaftqd,ceaser,0.0873440285204991,e,q,m,p,z,o,t,s,x,ee,em,mp,pz,zq
febciebnduhfnxohekssureeypstthnirixualnoox,ColumnarTransposition,0.0441347270615563,e,n,i,u,h,x,o,s,f,en,ni,iu,uh,hx
iynctnihnthssiiptuhiatonrhsumdfoisuowtbjaheoitaiifasgwosiindeotiteutexnm,ColumnarTransposition,0.0700312989045383,i,t,n,s,o,h,u,a,e,it,tn,ns,so,oh
sfzsvurkkwftdsmtorkorwfjrbsmudymufryysnyutnmskqsvgmxeeusahteoreatbseretratnvsfyryskwrnantoqrakwotenrna,MonoalphabeticSubstitution,0.0574645699864104,r,s,t,n,e,k,y,a,f,rs,st,tn,ne,ek
oxzzcxscbwkgtirnydoncinxsndjawmuvlrjuwecxhsnoanhoiqcbsulroyyarny,Vigenere,0.0411706349206349,n,o,c,x,s,r,y,w,i,no,oc,cx,xs,sr
qdtcrhwktexkvxwtbstnsekt,MonoalphabeticSubstitution,0.0615942028985507,t,k,w,e,x,s,q,d,c,tk,kw,we,ex,xs
cvqyjlcycobepvedcbgjd,MonoalphabeticSubstitution,0.0571428571428571,c,v,y,j,b,e,d,q,l,cv,vy,yj,jb,be
