Text,Cipher,IC
ooiteanixeheutihnxtrianhoeshthqiatkxeteitsmwxvalahraoxgetcwfraxhysstefrxunnadfocx,ColumnarTransposition,0.059876543209876544
hscnclnpoohownnisnweeyteocuhamntpebatqtimkoonknxfoeenoohlwymaeedoytefref,ColumnarTransposition,0.06455399061032864
iooaaootlnvntcrfuhixesheinnesxetepdocoudharnnnaspetnaiakotmhfibewwcfbi,ColumnarTransposition,0.0546583850931677
ntvrieaftxbrpnmsoahxlhredtieoxgwefnrtrhxiayceronrxhamadnshwxstiteancsxeueedelfuo,ColumnarTransposition,0.05411392405063291
lieshesxenohsotehketmschetreolnxtsluewetswthoeoxmofttmixvttsrfoxelhitrnx,ColumnarTransposition,0.07902973395931143
btuvaeeiyqiuarxhafrcfnuierowaxntopniacsoitofxanooewtrtneonixiisriswdotunrfs,ColumnarTransposition,0.06054054054054054
nltdcevoalseahireosttcfxegttuesxwrfhshoxieietguxdiswcfewwnaiorunrtihnnox,ColumnarTransposition,0.05359937402190924
dttnainatifnaeexiwnrayrsnttiednxnnhclfexnigedsetasahraidodeawfrxsatnaitxihhcantn,ColumnarTransposition,0.07879746835443038
msnltiiipjyegtnotucenwsypxsmptwtnahlitieihihsdoeummxiosysoriitatxoeeiihstolftn,ColumnarTransposition,0.06626706626706627
tynhhhfeoaiaetwtiaaaarovtndliretdtoosfsehsaftsvphhhoinrxtienmguntitiee,ColumnarTransposition,0.06749482401656315
mfisasedcitsfninttomrireeexsmedibllxueirfancxtcoifvaoxeonnaeblxnhsoaheox,ColumnarTransposition,0.05829420970266041
arrsioowsnxnittctuhenxmliraodrntxmeoihnfylatyahohtneaoxassyrbaedbxtfhweenecux,ColumnarTransposition,0.05365686944634313
ktsbuhcniihlalsstodgoinxtokeseoxtafwratihrioeblxhhtielieaynftroxnsiltthi,ColumnarTransposition,0.06103286384976526
rctlletnehsataihesaiyhreeoatameertcrmneennefnnreatxeptoiibopaehecnmecxod,ColumnarTransposition,0.08176838810641628
iobnnoaohonaltcnuyggpsatkboxattttoueltmosxinrehoorilhyutfciaisdpsnilri,ColumnarTransposition,0.05714285714285714
learraegcfhifwxbeyetshnswntlnxlcrmeytiutinoixwesfhooieeoghlginsoesmnxotseox,ColumnarTransposition,0.057297297297297295
oeialafattserwainlouhhtxfchrlrefitrhrncfiubdwiiteaiawtyntnfspmhmdaluliei,ColumnarTransposition,0.05672926447574335
