Text,Cipher,IC
jeqbofwoqchjhnfdxzdicwdcridrlkcdhrkhwxkejhnlcwbaokoawbwvdcobbkbdrjhnecawsfwxzbokkibojssfkoaadhibcwbojhn,MonoalphabeticSubstitution,0.055206548638873025
etlbiplbcvipbcvolbkqlbiazwqikeokmioqnpplqipgzbalpolbpqgezubtdgetpedlbjztuplqkztuicznqpeqbplqgibuqyqdegq,MonoalphabeticSubstitution,0.06320197982105463
kjxrgaegukemgkexiarkbihmrlvgkevbehgfibbezisalimibbqfjibpbijhsalqckgmldhszgkeajfearvbehgihmcaeeglhgkeja,MonoalphabeticSubstitution,0.05998835177635411
yhwuaulsseuphrwhjxulseshiraqulsektmlurtetjmmrapjxajyltdllseuaaxlsdapkxessulsmrshuvshuqaeesehbapuuls,MonoalphabeticSubstitution,0.07008864151721295
jxbwjhsrleghijpwaewjwioalewjwnqkxowgstuwilewjnwilwoljwwgsjnqhsjwgskxaaslgstnkifpuexfelewwqwstlew,MonoalphabeticSubstitution,0.07214912280701755
rxhpurepxewxycekuyaypevepswvuygkxfehymkvvyvcyoybyiybbrxyvktloygrvhchreychyoyehybkkarxloriyovapvvyfrxekehy,MonoalphabeticSubstitution,0.07234432234432235
kljmrzlkteylmqtrzeqkhojzholkbvjhhorkajyhrgqmjytetlzhexjpjtatjygojxhlyzeezflgjqklexketleholynrklrzdrkrfml,MonoalphabeticSubstitution,0.060866318147871544
smxwmrluydwldjwgubmymhbuujuxvkcubdwrwrpofkrvduymvusbgwffwrpxkyrvkwviskjcudwrxmlosvmwrkismwrhlgkoxrumsus,MonoalphabeticSubstitution,0.057490957548067774
yguifzlpfjrzefunlpfpzbpjuvekpzxpxollpfavmmfgnjusfvrllukfrlkfjfymvxqviesfmvixpumgnzfmerpvmnjfxmvzsfenjus,MonoalphabeticSubstitution,0.058442794593565585
rtwiwkrcmhhyxwvzhntwowrtwnkrwohrmmzxgrtwydoomnhmokivmdatzoxbwgzwwikgzvwyrhtmnwzrtwgkrdowmyrtwtwkbe,MonoalphabeticSubstitution,0.07195455501788345
rtpeiyvlleqetipdtsqpdektiueicqecjtnivkqetynslrnpdnppnyypdeqixnsl,MonoalphabeticSubstitution,0.06398809523809523
zxoqwwjmenqumpiwmpimkxljmzifiajhqnmor,MonoalphabeticSubstitution,0.052552552552552555
btawftbttkftrmusdtjawfhucqlftcwqvuqcqfshcwacwjjtkofttkbfwytlhvtftukjqvtftqvtmwkocqftqrvtcwahlfhmtbmurysk,MonoalphabeticSubstitution,0.07150858849887975
ekpgipueasoprviaiumzrevfkmxkekpwureciprfpipacpekpfuepirfvyypzfmekipxpzeiumzxvcyaqprppzkciismzgevnvmzekp,MonoalphabeticSubstitution,0.07043594136683799
mtlwmbahqfgwbwafgwrsnvqbnlwmgwaqgvmmtwqstdwfgwqudwbahqfgwbfmwaobakwmkwfvaskmnrwbbtnhemnofgwhnmfgcwbfbcwkf,MonoalphabeticSubstitution,0.07252747252747253
erakrtsonmlwuzukynhoerxsonmlwutkojtezlkrfunslwuhyyuockaauqkrtganllerxnhllwumnhrlkerzlwklzlnntkonhrtelz,MonoalphabeticSubstitution,0.06095903708017861
ucxhxhcgvyxpcgncwcvwpuegdeyhzxqnuhxrrcpfsyyvfxgvqpvfkcxspr,MonoalphabeticSubstitution,0.056866303690260134
onotvulmsmvhqoeuvvymtfvgosojutjostofmtfmv,MonoalphabeticSubstitution,0.08048780487804878
xixpafiqfbstoixpbfjkxdfiifcxiupojafklcofjualtkloajaftxhljokxcgxiiekltlpomkuvjafvxktalptiunftxpctbxktxpc,MonoalphabeticSubstitution,0.06167904054825814
effhwhuwttnlywhtwafutfqwtatbpwnfuvlnjzswnlphifvnwnfuqbttlrwnitbprbprjfjcwcbttnwlicebjcbjniczsicjfewslph,MonoalphabeticSubstitution,0.05863316200266514
vzqdwvzxqafxyovlsuyfbqyiynoeuwebxickwyfbylokebuefzsxlzichenlovlszwxbyfqwhxiedvzyloknzeuuhczwxqxxzwvls,MonoalphabeticSubstitution,0.0500990099009901
